Segment,Country,Product,Discount Band, Units Sold ,Manufacturing Price,Sale Price,Sales,COGS,Profit,Date,%Profit
Channel Partners,Brunei,Tango,None, 786 ,"Rp 6,000","Rp 7,500","Rp 5,895,000","Rp 4,716,000","Rp 1,179,000",16 Feb 2025,20%
Channel Partners,Vietnam,Teh Botol,None, 997 ,"Rp 7,000","Rp 8,750","Rp 8,723,750","Rp 6,979,000","Rp 1,744,750",18 Feb 2025,20%
Channel Partners,Cambodia,Gula Gulaku,None," 1,029 ","Rp 17,500","Rp 21,875","Rp 22,509,375","Rp 18,007,500","Rp 4,501,875",18 Feb 2025,20%
Channel Partners,Vietnam,Biskuat,None, 675 ,"Rp 4,400","Rp 5,500","Rp 3,712,500","Rp 2,970,000","Rp 742,500",19 Feb 2025,20%
Channel Partners,Malaysia,Tango,None, 289 ,"Rp 8,400","Rp 10,500","Rp 3,034,500","Rp 2,427,600","Rp 606,900",19 Feb 2025,20%
Channel Partners,Cambodia,Sari Roti,None, 716 ,"Rp 2,000","Rp 2,500","Rp 1,790,000","Rp 1,432,000","Rp 358,000",20 Feb 2025,20%
Channel Partners,Malaysia,Nugget Fiesta,None," 2,838 ","Rp 19,900","Rp 24,875","Rp 70,595,250","Rp 56,476,200","Rp 14,119,050",21 Feb 2025,20%
Channel Partners,Philippines,Teh Botol,None," 1,531 ","Rp 6,700","Rp 8,375","Rp 12,822,125","Rp 10,257,700","Rp 2,564,425",24 Feb 2025,20%
Channel Partners,Philippines,Nugget Fiesta,None, 124 ,"Rp 4,100","Rp 5,125","Rp 635,500","Rp 508,400","Rp 127,100",1 Mar 2025,20%
Channel Partners,Myanmar,Chitato,None," 1,610 ","Rp 13,300","Rp 16,625","Rp 26,766,250","Rp 21,413,000","Rp 5,353,250",2 Mar 2025,20%
Channel Partners,Philippines,Indomie,None, 127 ,"Rp 8,600","Rp 10,750","Rp 1,365,250","Rp 1,092,200","Rp 273,050",2 Mar 2025,20%
Channel Partners,Malaysia,Tango,None," 2,571 ","Rp 23,200","Rp 29,000","Rp 74,559,000","Rp 59,647,200","Rp 14,911,800",7 Mar 2025,20%
Channel Partners,Singapore,Biskuat,None," 2,839 ","Rp 12,700","Rp 15,875","Rp 45,069,125","Rp 36,055,300","Rp 9,013,825",7 Mar 2025,20%
Channel Partners,Thailand,Nugget Fiesta,None," 2,073 ","Rp 15,100","Rp 18,875","Rp 39,127,875","Rp 31,302,300","Rp 7,825,575",10 Mar 2025,20%
Channel Partners,Philippines,Indomie,None," 1,673 ","Rp 12,100","Rp 15,125","Rp 25,304,125","Rp 20,243,300","Rp 5,060,825",12 Mar 2025,20%
Channel Partners,Malaysia,Gula Gulaku,None," 1,227 ","Rp 4,100","Rp 5,125","Rp 6,288,375","Rp 5,030,700","Rp 1,257,675",13 Mar 2025,20%
Channel Partners,Myanmar,Indomie,None," 2,765 ","Rp 4,600","Rp 5,750","Rp 15,898,750","Rp 12,719,000","Rp 3,179,750",13 Mar 2025,20%
Channel Partners,Brunei,Indomie,None," 2,109 ","Rp 21,700","Rp 27,125","Rp 57,206,625","Rp 45,765,300","Rp 11,441,325",14 Mar 2025,20%
Channel Partners,Thailand,Chitato,None," 2,073 ","Rp 1,700","Rp 2,125","Rp 4,405,125","Rp 3,524,100","Rp 881,025",15 Mar 2025,20%
Channel Partners,Laos,Indomie,None, 753 ,"Rp 2,300","Rp 2,875","Rp 2,164,875","Rp 1,731,900","Rp 432,975",17 Mar 2025,20%
Channel Partners,Singapore,Aqua,None," 2,400 ","Rp 12,300","Rp 15,375","Rp 36,900,000","Rp 29,520,000","Rp 7,380,000",18 Mar 2025,20%
Channel Partners,Cambodia,Teh Botol,None, 803 ,"Rp 18,000","Rp 22,500","Rp 18,067,500","Rp 14,454,000","Rp 3,613,500",20 Mar 2025,20%
Channel Partners,Brunei,Aqua,None," 1,383 ","Rp 22,800","Rp 28,500","Rp 39,415,500","Rp 31,532,400","Rp 7,883,100",21 Mar 2025,20%
Channel Partners,Malaysia,Nugget Fiesta,None, 283 ,"Rp 21,100","Rp 26,375","Rp 7,464,125","Rp 5,971,300","Rp 1,492,825",22 Mar 2025,20%
Channel Partners,Cambodia,Sari Roti,None," 2,240 ","Rp 21,100","Rp 26,375","Rp 59,080,000","Rp 47,264,000","Rp 11,816,000",23 Mar 2025,20%
Channel Partners,Myanmar,Gula Gulaku,None," 2,457 ","Rp 22,700","Rp 28,375","Rp 69,717,375","Rp 55,773,900","Rp 13,943,475",23 Mar 2025,20%
Channel Partners,Cambodia,Nugget Fiesta,None," 1,281 ","Rp 13,400","Rp 16,750","Rp 21,456,750","Rp 17,165,400","Rp 4,291,350",29 Mar 2025,20%
Channel Partners,Laos,Indomie,None, 208 ,"Rp 6,400","Rp 8,000","Rp 1,664,000","Rp 1,331,200","Rp 332,800",29 Mar 2025,20%
Channel Partners,Cambodia,Indomie,None," 2,471 ","Rp 3,900","Rp 4,875","Rp 12,046,125","Rp 9,636,900","Rp 2,409,225",30 Mar 2025,20%
Channel Partners,Thailand,Biskuat,None," 2,753 ","Rp 11,500","Rp 14,375","Rp 39,574,375","Rp 31,659,500","Rp 7,914,875",31 Mar 2025,20%
Channel Partners,Laos,Chitato,None, 814 ,"Rp 9,000","Rp 11,250","Rp 9,157,500","Rp 7,326,000","Rp 1,831,500",4 Apr 2025,20%
Channel Partners,Laos,Aqua,None, 548 ,"Rp 18,300","Rp 22,875","Rp 12,535,500","Rp 10,028,400","Rp 2,507,100",6 Apr 2025,20%
Channel Partners,Malaysia,Gula Gulaku,None," 2,348 ","Rp 8,700","Rp 10,875","Rp 25,534,500","Rp 20,427,600","Rp 5,106,900",8 Apr 2025,20%
Channel Partners,Vietnam,Tango,None," 1,099 ","Rp 8,600","Rp 10,750","Rp 11,814,250","Rp 9,451,400","Rp 2,362,850",8 Apr 2025,20%
Channel Partners,Myanmar,Aqua,None," 2,195 ","Rp 14,605","Rp 18,250","Rp 40,058,750","Rp 32,057,975","Rp 8,000,775",10 Apr 2025,20%
Channel Partners,Myanmar,Aqua,None, 489 ,"Rp 7,400","Rp 9,250","Rp 4,523,250","Rp 3,618,600","Rp 904,650",13 Apr 2025,20%
Channel Partners,Philippines,Chitato,None, 863 ,"Rp 16,000","Rp 20,000","Rp 17,260,000","Rp 13,808,000","Rp 3,452,000",13 Apr 2025,20%
Channel Partners,Philippines,Ultra Milk,None, 202 ,"Rp 3,300","Rp 4,125","Rp 833,250","Rp 666,600","Rp 166,650",15 Apr 2025,20%
Channel Partners,Cambodia,Biskuat,None," 2,500 ","Rp 6,300","Rp 7,875","Rp 19,687,500","Rp 15,750,000","Rp 3,937,500",17 Apr 2025,20%
Channel Partners,Singapore,Aqua,None," 2,290 ","Rp 2,400","Rp 3,000","Rp 6,870,000","Rp 5,496,000","Rp 1,374,000",18 Apr 2025,20%
Channel Partners,Laos,Nugget Fiesta,None," 2,999 ","Rp 11,800","Rp 14,750","Rp 44,235,250","Rp 35,388,200","Rp 8,847,050",19 Apr 2025,20%
Channel Partners,Brunei,Gula Gulaku,None," 1,495 ","Rp 12,800","Rp 16,000","Rp 23,920,000","Rp 19,136,000","Rp 4,784,000",19 Apr 2025,20%
Channel Partners,Vietnam,Sari Roti,None, 879 ,"Rp 15,000","Rp 18,750","Rp 16,481,250","Rp 13,185,000","Rp 3,296,250",22 Apr 2025,20%
Channel Partners,Thailand,Aqua,None, 514 ,"Rp 16,675","Rp 20,750","Rp 10,665,500","Rp 8,570,950","Rp 2,094,550",25 Apr 2025,20%
Channel Partners,Cambodia,Chitato,None," 1,927 ","Rp 20,500","Rp 25,625","Rp 49,379,375","Rp 39,503,500","Rp 9,875,875",27 Apr 2025,20%
Channel Partners,Philippines,Nugget Fiesta,None," 1,010 ","Rp 11,684","Rp 14,500","Rp 14,645,000","Rp 11,800,840","Rp 2,844,160",29 Apr 2025,19%
Channel Partners,Myanmar,Sari Roti,None," 1,276 ","Rp 18,900","Rp 23,625","Rp 30,145,500","Rp 24,116,400","Rp 6,029,100",1 May 2025,20%
Channel Partners,Malaysia,Nugget Fiesta,None, 477 ,"Rp 9,600","Rp 12,000","Rp 5,724,000","Rp 4,579,200","Rp 1,144,800",2 May 2025,20%
Channel Partners,Thailand,Nugget Fiesta,None," 2,223 ","Rp 8,400","Rp 10,500","Rp 23,341,500","Rp 18,673,200","Rp 4,668,300",3 May 2025,20%
Channel Partners,Indonesia,Biskuat,None," 2,506 ","Rp 24,700","Rp 30,875","Rp 77,372,750","Rp 61,898,200","Rp 15,474,550",5 May 2025,20%
Channel Partners,Myanmar,Sari Roti,None, 131 ,"Rp 6,100","Rp 7,625","Rp 998,875","Rp 799,100","Rp 199,775",9 May 2025,20%
Channel Partners,Philippines,Teh Botol,None," 2,675 ","Rp 11,700","Rp 14,625","Rp 39,121,875","Rp 31,297,500","Rp 7,824,375",9 May 2025,20%
Channel Partners,Philippines,Ultra Milk,None," 2,031 ","Rp 19,100","Rp 23,875","Rp 48,490,125","Rp 38,792,100","Rp 9,698,025",10 May 2025,20%
Channel Partners,Vietnam,Aqua,None, 629 ,"Rp 23,500","Rp 29,375","Rp 18,476,875","Rp 14,781,500","Rp 3,695,375",11 May 2025,20%
Channel Partners,Vietnam,Indomie,None," 2,751 ","Rp 13,500","Rp 16,875","Rp 46,423,125","Rp 37,138,500","Rp 9,284,625",11 May 2025,20%
Channel Partners,Brunei,Chitato,None," 1,102 ","Rp 23,100","Rp 28,875","Rp 31,820,250","Rp 25,456,200","Rp 6,364,050",12 May 2025,20%
Channel Partners,Singapore,Tango,None," 2,669 ","Rp 22,800","Rp 28,500","Rp 76,066,500","Rp 60,853,200","Rp 15,213,300",14 May 2025,20%
Channel Partners,Malaysia,Nugget Fiesta,None," 1,051 ","Rp 22,500","Rp 28,125","Rp 29,559,375","Rp 23,647,500","Rp 5,911,875",15 May 2025,20%
Channel Partners,Indonesia,Indomie,None," 1,954 ","Rp 18,800","Rp 23,500","Rp 45,919,000","Rp 36,735,200","Rp 9,183,800",16 May 2025,20%
Channel Partners,Myanmar,Teh Botol,None, 642 ,"Rp 4,300","Rp 5,375","Rp 3,450,750","Rp 2,760,600","Rp 690,150",19 May 2025,20%
Channel Partners,Laos,Tango,None," 2,124 ","Rp 9,900","Rp 12,375","Rp 26,284,500","Rp 21,027,600","Rp 5,256,900",21 May 2025,20%
Channel Partners,Vietnam,Chitato,None," 2,904 ","Rp 3,800","Rp 4,750","Rp 13,794,000","Rp 11,035,200","Rp 2,758,800",24 May 2025,20%
Channel Partners,Indonesia,Gula Gulaku,None," 2,847 ","Rp 12,800","Rp 16,000","Rp 45,552,000","Rp 36,441,600","Rp 9,110,400",24 May 2025,20%
Channel Partners,Brunei,Nugget Fiesta,None," 2,049 ","Rp 13,100","Rp 16,375","Rp 33,552,375","Rp 26,841,900","Rp 6,710,475",27 May 2025,20%
Channel Partners,Cambodia,Sari Roti,None," 1,237 ","Rp 5,400","Rp 6,750","Rp 8,349,750","Rp 6,679,800","Rp 1,669,950",29 May 2025,20%
Channel Partners,Vietnam,Chitato,None," 1,013 ","Rp 1,500","Rp 1,875","Rp 1,899,375","Rp 1,519,500","Rp 379,875",30 May 2025,20%
Channel Partners,Brunei,Aqua,None," 1,578 ","Rp 3,600","Rp 4,500","Rp 7,101,000","Rp 5,680,800","Rp 1,420,200",30 May 2025,20%
Channel Partners,Laos,Sari Roti,None, 490 ,"Rp 24,900","Rp 31,125","Rp 15,251,250","Rp 12,201,000","Rp 3,050,250",31 May 2025,20%
Channel Partners,Laos,Tango,None," 1,238 ","Rp 11,900","Rp 14,875","Rp 18,415,250","Rp 14,732,200","Rp 3,683,050",4 Jun 2025,20%
Channel Partners,Vietnam,Gula Gulaku,None, 698 ,"Rp 11,500","Rp 14,375","Rp 10,033,750","Rp 8,027,000","Rp 2,006,750",5 Jun 2025,20%
Channel Partners,Cambodia,Tango,None," 1,988 ","Rp 20,700","Rp 25,875","Rp 51,439,500","Rp 41,151,600","Rp 10,287,900",5 Jun 2025,20%
Channel Partners,Thailand,Nugget Fiesta,None," 1,969 ","Rp 19,800","Rp 24,750","Rp 48,732,750","Rp 38,986,200","Rp 9,746,550",5 Jun 2025,20%
Channel Partners,Thailand,Nugget Fiesta,None, 414 ,"Rp 4,200","Rp 5,250","Rp 2,173,500","Rp 1,738,800","Rp 434,700",8 Jun 2025,20%
Channel Partners,Malaysia,Nugget Fiesta,None, 508 ,"Rp 9,600","Rp 12,000","Rp 6,096,000","Rp 4,876,800","Rp 1,219,200",8 Jun 2025,20%
Channel Partners,Indonesia,Aqua,None," 2,167 ","Rp 15,500","Rp 19,375","Rp 41,985,625","Rp 33,588,500","Rp 8,397,125",9 Jun 2025,20%
Channel Partners,Brunei,Nugget Fiesta,None, 727 ,"Rp 15,200","Rp 19,000","Rp 13,813,000","Rp 11,050,400","Rp 2,762,600",9 Jun 2025,20%
Channel Partners,Singapore,Aqua,None," 1,649 ","Rp 21,800","Rp 27,250","Rp 44,935,250","Rp 35,948,200","Rp 8,987,050",9 Jun 2025,20%
Channel Partners,Laos,Tango,None," 1,362 ","Rp 7,400","Rp 9,250","Rp 12,598,500","Rp 10,078,800","Rp 2,519,700",13 Jun 2025,20%
Channel Partners,Brunei,Tango,None," 2,128 ","Rp 5,100","Rp 6,375","Rp 13,566,000","Rp 10,852,800","Rp 2,713,200",14 Jun 2025,20%
Channel Partners,Philippines,Biskuat,None, 131 ,"Rp 20,300","Rp 25,375","Rp 3,324,125","Rp 2,659,300","Rp 664,825",17 Jun 2025,20%
Channel Partners,Vietnam,Teh Botol,None," 1,807 ","Rp 2,800","Rp 3,500","Rp 6,324,500","Rp 5,059,600","Rp 1,264,900",22 Jun 2025,20%
Channel Partners,Singapore,Aqua,None, 431 ,"Rp 9,400","Rp 11,750","Rp 5,064,250","Rp 4,051,400","Rp 1,012,850",22 Jun 2025,20%
Channel Partners,Thailand,Nugget Fiesta,None, 336 ,"Rp 8,600","Rp 10,750","Rp 3,612,000","Rp 2,889,600","Rp 722,400",26 Jun 2025,20%
Channel Partners,Myanmar,Nugget Fiesta,None, 227 ,"Rp 2,300","Rp 2,875","Rp 652,625","Rp 522,100","Rp 130,525",27 Jun 2025,20%
Channel Partners,Myanmar,Nugget Fiesta,None, 782 ,"Rp 3,800","Rp 4,750","Rp 3,714,500","Rp 2,971,600","Rp 742,900",30 Jun 2025,20%
Channel Partners,Indonesia,Sari Roti,None," 2,863 ","Rp 15,200","Rp 19,000","Rp 54,397,000","Rp 43,517,600","Rp 10,879,400",1 Jul 2025,20%
Channel Partners,Singapore,Indomie,None," 1,530 ","Rp 17,600","Rp 22,000","Rp 33,660,000","Rp 26,928,000","Rp 6,732,000",6 Jul 2025,20%
Channel Partners,Indonesia,Aqua,None," 2,507 ","Rp 9,800","Rp 12,250","Rp 30,710,750","Rp 24,568,600","Rp 6,142,150",7 Jul 2025,20%
Channel Partners,Brunei,Ultra Milk,None," 2,271 ","Rp 16,200","Rp 20,250","Rp 45,987,750","Rp 36,790,200","Rp 9,197,550",7 Jul 2025,20%
Channel Partners,Philippines,Aqua,None, 762 ,"Rp 13,100","Rp 16,375","Rp 12,477,750","Rp 9,982,200","Rp 2,495,550",10 Jul 2025,20%
Channel Partners,Singapore,Tango,None," 2,055 ","Rp 4,500","Rp 5,625","Rp 11,559,375","Rp 9,247,500","Rp 2,311,875",10 Jul 2025,20%
Channel Partners,Brunei,Chitato,None, 762 ,"Rp 22,600","Rp 28,250","Rp 21,526,500","Rp 17,221,200","Rp 4,305,300",12 Jul 2025,20%
Channel Partners,Vietnam,Nugget Fiesta,None," 2,564 ","Rp 5,100","Rp 6,375","Rp 16,345,500","Rp 13,076,400","Rp 3,269,100",13 Jul 2025,20%
Channel Partners,Brunei,Biskuat,None, 827 ,"Rp 17,700","Rp 22,125","Rp 18,297,375","Rp 14,637,900","Rp 3,659,475",17 Jul 2025,20%
Channel Partners,Indonesia,Nugget Fiesta,None, 175 ,"Rp 19,300","Rp 24,125","Rp 4,221,875","Rp 3,377,500","Rp 844,375",17 Jul 2025,20%
Channel Partners,Cambodia,Sari Roti,None," 1,837 ","Rp 13,200","Rp 16,500","Rp 30,310,500","Rp 24,248,400","Rp 6,062,100",20 Jul 2025,20%
Channel Partners,Philippines,Biskuat,None," 1,609 ","Rp 12,000","Rp 15,000","Rp 24,135,000","Rp 19,308,000","Rp 4,827,000",20 Jul 2025,20%
Channel Partners,Malaysia,Aqua,None," 2,276 ","Rp 4,100","Rp 5,125","Rp 11,664,500","Rp 9,331,600","Rp 2,332,900",22 Jul 2025,20%
Channel Partners,Vietnam,Nugget Fiesta,None," 1,553 ","Rp 18,700","Rp 23,375","Rp 36,301,375","Rp 29,041,100","Rp 7,260,275",22 Jul 2025,20%
Channel Partners,Thailand,Tango,None," 2,606 ","Rp 17,800","Rp 22,250","Rp 57,983,500","Rp 46,386,800","Rp 11,596,700",22 Jul 2025,20%
Channel Partners,Brunei,Gula Gulaku,None," 1,276 ","Rp 21,500","Rp 26,875","Rp 34,292,500","Rp 27,434,000","Rp 6,858,500",23 Jul 2025,20%
Channel Partners,Singapore,Ultra Milk,None," 2,410 ","Rp 12,200","Rp 15,250","Rp 36,752,500","Rp 29,402,000","Rp 7,350,500",24 Jul 2025,20%
Channel Partners,Brunei,Tango,None," 2,415 ","Rp 22,400","Rp 28,000","Rp 67,620,000","Rp 54,096,000","Rp 13,524,000",24 Jul 2025,20%
Channel Partners,Myanmar,Biskuat,None, 699 ,"Rp 18,900","Rp 23,625","Rp 16,513,875","Rp 13,211,100","Rp 3,302,775",24 Jul 2025,20%
Channel Partners,Singapore,Sari Roti,None," 1,150 ","Rp 24,000","Rp 30,000","Rp 34,500,000","Rp 27,600,000","Rp 6,900,000",26 Jul 2025,20%
Channel Partners,Myanmar,Sari Roti,None," 2,393 ","Rp 14,800","Rp 18,500","Rp 44,270,500","Rp 35,416,400","Rp 8,854,100",27 Jul 2025,20%
Channel Partners,Philippines,Biskuat,None," 1,880 ","Rp 13,600","Rp 17,000","Rp 31,960,000","Rp 25,568,000","Rp 6,392,000",30 Jul 2025,20%
Channel Partners,Myanmar,Aqua,None," 2,861 ","Rp 15,200","Rp 19,000","Rp 54,359,000","Rp 43,487,200","Rp 10,871,800",30 Jul 2025,20%
Channel Partners,Cambodia,Nugget Fiesta,None," 1,786 ","Rp 16,600","Rp 20,750","Rp 37,059,500","Rp 29,647,600","Rp 7,411,900",30 Jul 2025,20%
Channel Partners,Indonesia,Tango,None, 262 ,"Rp 9,800","Rp 12,250","Rp 3,209,500","Rp 2,567,600","Rp 641,900",31 Jul 2025,20%
Channel Partners,Singapore,Teh Botol,None," 1,669 ","Rp 6,300","Rp 7,875","Rp 13,143,375","Rp 10,514,700","Rp 2,628,675",31 Jul 2025,20%
Channel Partners,Thailand,Nugget Fiesta,None, 928 ,"Rp 17,800","Rp 22,250","Rp 20,648,000","Rp 16,518,400","Rp 4,129,600",1 Aug 2025,20%
Channel Partners,Myanmar,Indomie,None, 113 ,"Rp 3,000","Rp 3,750","Rp 423,750","Rp 339,000","Rp 84,750",1 Aug 2025,20%
Channel Partners,Malaysia,Chitato,None, 269 ,"Rp 10,700","Rp 13,375","Rp 3,597,875","Rp 2,878,300","Rp 719,575",2 Aug 2025,20%
Channel Partners,Thailand,Sari Roti,None," 1,950 ","Rp 11,300","Rp 14,125","Rp 27,543,750","Rp 22,035,000","Rp 5,508,750",7 Aug 2025,20%
Channel Partners,Brunei,Biskuat,None, 383 ,"Rp 22,400","Rp 28,000","Rp 10,724,000","Rp 8,579,200","Rp 2,144,800",11 Aug 2025,20%
Channel Partners,Vietnam,Chitato,None," 1,060 ","Rp 22,800","Rp 28,500","Rp 30,210,000","Rp 24,168,000","Rp 6,042,000",11 Aug 2025,20%
Channel Partners,Thailand,Sari Roti,None," 2,202 ","Rp 4,500","Rp 5,625","Rp 12,386,250","Rp 9,909,000","Rp 2,477,250",12 Aug 2025,20%
Channel Partners,Brunei,Teh Botol,None," 2,287 ","Rp 4,700","Rp 5,875","Rp 13,436,125","Rp 10,748,900","Rp 2,687,225",13 Aug 2025,20%
Channel Partners,Vietnam,Teh Botol,None," 2,162 ","Rp 14,400","Rp 18,000","Rp 38,916,000","Rp 31,132,800","Rp 7,783,200",14 Aug 2025,20%
Channel Partners,Philippines,Nugget Fiesta,None, 949 ,"Rp 20,500","Rp 25,625","Rp 24,318,125","Rp 19,454,500","Rp 4,863,625",14 Aug 2025,20%
Channel Partners,Thailand,Teh Botol,None, 216 ,"Rp 11,000","Rp 13,750","Rp 2,970,000","Rp 2,376,000","Rp 594,000",17 Aug 2025,20%
Channel Partners,Vietnam,Ultra Milk,None," 2,752 ","Rp 1,500","Rp 1,875","Rp 5,160,000","Rp 4,128,000","Rp 1,032,000",20 Aug 2025,20%
Channel Partners,Brunei,Gula Gulaku,None," 2,669 ","Rp 9,200","Rp 11,500","Rp 30,693,500","Rp 24,554,800","Rp 6,138,700",20 Aug 2025,20%
Channel Partners,Myanmar,Chitato,None, 541 ,"Rp 13,400","Rp 16,750","Rp 9,061,750","Rp 7,249,400","Rp 1,812,350",20 Aug 2025,20%
Channel Partners,Indonesia,Gula Gulaku,None," 2,205 ","Rp 23,400","Rp 29,250","Rp 64,496,250","Rp 51,597,000","Rp 12,899,250",20 Aug 2025,20%
Channel Partners,Thailand,Nugget Fiesta,None," 1,276 ","Rp 3,200","Rp 4,000","Rp 5,104,000","Rp 4,083,200","Rp 1,020,800",21 Aug 2025,20%
Channel Partners,Indonesia,Indomie,None," 2,910 ","Rp 17,800","Rp 22,250","Rp 64,747,500","Rp 51,798,000","Rp 12,949,500",24 Aug 2025,20%
Channel Partners,Laos,Tango,None," 2,048 ","Rp 15,000","Rp 18,750","Rp 38,400,000","Rp 30,720,000","Rp 7,680,000",24 Aug 2025,20%
Channel Partners,Singapore,Teh Botol,None," 1,115 ","Rp 8,200","Rp 10,250","Rp 11,428,750","Rp 9,143,000","Rp 2,285,750",25 Aug 2025,20%
Channel Partners,Myanmar,Chitato,None, 248 ,"Rp 20,900","Rp 26,125","Rp 6,479,000","Rp 5,183,200","Rp 1,295,800",25 Aug 2025,20%
Channel Partners,Malaysia,Chitato,None," 1,157 ","Rp 20,600","Rp 25,750","Rp 29,792,750","Rp 23,834,200","Rp 5,958,550",26 Aug 2025,20%
Channel Partners,Thailand,Tango,None," 2,224 ","Rp 22,300","Rp 27,875","Rp 61,994,000","Rp 49,595,200","Rp 12,398,800",26 Aug 2025,20%
Channel Partners,Myanmar,Indomie,None, 750 ,"Rp 2,900","Rp 3,625","Rp 2,718,750","Rp 2,175,000","Rp 543,750",26 Aug 2025,20%
Channel Partners,Laos,Indomie,None," 2,635 ","Rp 9,000","Rp 11,250","Rp 29,643,750","Rp 23,715,000","Rp 5,928,750",28 Aug 2025,20%
